time,pm2.5,pm10,so2,o3,no2,co,temp,tdp,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,,
08-04-24 0:00,14,8,1.4,32.7,8.1,0.25,19.1,18.3,95,7.7,50,12.6,40,1.5,0.5,0,0,0,0,,
08-04-24 1:00,13,11,1.6,31.6,7.3,0.23,22,21.2,95,1.6,50,3.4,40,0,0,0,0,0,0,,
08-04-24 2:00,15,14,1.4,26,8.8,0.23,22,21.3,96,0.4,60,2.1,30,0,0.1,0,0,0,0,,
08-04-24 3:00,10,15,0.6,24.7,7.9,0.24,21.8,21.1,96,0.4,30,3.5,160,0,0.1,0,0,0,0,,
08-04-24 4:00,17,15,0.8,20.3,9.8,0.28,21.9,21.4,97,0.8,150,1.7,160,0,0,0,0,0,0,,
08-04-24 5:00,18,16,0.9,14,11.3,0.31,22.1,21.4,96,0.6,160,2.6,190,0,0,0,0,0,0,,
08-04-24 6:00,15,21,2.6,6.7,19.1,0.41,21.8,21.5,98,1.2,360,3.6,190,3,0.6,0,0,0,0,,
08-04-24 7:00,16,19,2.9,5,21.9,0.6,21.9,21.6,98,1.5,140,2.6,180,0,0.1,0,0.03,0,0,,
08-04-24 8:00,16,17,1.3,4.8,23.9,0.6,22,21.8,99,1.4,210,3.5,180,4,1,0,0.04,5,0,,
08-04-24 9:00,13,16,0.7,8.5,19.1,0.46,22.4,22.1,98,3.9,50,5.6,50,0,0.1,0,0.25,20,1,,
08-04-24 10:00,12,9,0.7,12.6,21,0.47,23,22.5,97,1.7,80,4.3,50,0,0.1,0,0.35,0,1,,
08-04-24 11:00,8,10,0.7,20.8,22,0.31,22.8,22,95,2.3,10,4.1,30,1.5,0.6,0,0.34,6,1,,
08-04-24 12:00,8,8,0.9,28.3,15.4,0.27,22.8,21.6,93,2.6,330,5.1,330,1,0.4,0,0.52,0,2,,
08-04-24 13:00,7,9,0.6,28.1,13.4,0.25,23.4,21.7,90,2.1,340,3.8,320,0,0,0,1.06,0,4,,
08-04-24 14:00,6,10,0.8,25.6,15.4,0.27,23.6,21.5,88,2.6,340,4.4,330,0,0,0.1,1.56,16,6,,
08-04-24 15:00,8,18,0.8,30,14,0.27,23,21.1,89,2.7,340,5.8,330,0,0,0,0.63,0,2,,
08-04-24 16:00,10,24,16.1,28.6,15.8,0.32,22.6,20.5,88,3,350,6.4,320,0,0,0,0.3,0,1,,
08-04-24 17:00,15,28,2.8,32.2,14.7,0.33,22.6,20.5,88,2.4,350,5.7,360,0,0,0,0.14,12,0,,
08-04-24 18:00,14,16,1.8,30.8,15.5,0.36,22.5,20.2,87,2.2,350,4.4,320,0,0,0,0.03,0,0,,
08-04-24 19:00,11,16,1.2,36.3,13.2,0.31,22.4,20.5,89,2.2,10,4.1,350,0,0.6,0,0,0,0,,
08-04-24 20:00,10,28,0.6,38.1,8.9,0.27,22.2,20.1,88,3.8,40,6.3,40,0,0.6,0,0,0,0,,
08-04-24 21:00,10,11,0.7,37.7,8.7,0.27,20.8,20.1,96,5.1,50,9,30,4,0.9,0,0,0,0,,
08-04-24 22:00,6,7,0.4,41.2,6.1,0.25,20.2,19.4,95,5.7,50,10.6,20,1,0.5,0,0,0,0,,
08-04-24 23:00,6,4,0.4,39.6,6.9,0.33,19.8,18.3,91,5.7,50,10.8,50,0,0.2,0,0,0,0,,
09-04-24 0:00,5,6,0.3,39.1,6.5,0.28,19.6,14.4,72,6.6,60,13.3,80,0,0,0,0,0,0,,
09-04-24 1:00,6,12,0.4,41.6,6.9,0.28,18.8,17,89,7.5,60,13,40,0,0.3,0,0,0,0,,
09-04-24 2:00,6,9,0.4,45.7,5.9,0.26,19.3,16.2,82,7.3,50,14.1,50,0,0,0,0,0,0,,
09-04-24 3:00,4,10,0.2,45.7,5.6,0.26,19.4,16.3,82,7.1,50,13.3,30,0,0,0,0,0,0,,
09-04-24 4:00,4,7,0.5,42.1,6.6,0.26,18.8,16.6,87,6.8,50,12.2,60,0,0.1,0,0,0,0,,
09-04-24 5:00,6,9,0.6,40.2,7.7,0.28,19,16.4,85,5.9,50,10.9,50,0,0.1,0,0,0,0,,
09-04-24 6:00,8,9,0.4,37.3,10.7,0.34,18.9,16.7,87,3.7,70,10,50,0,0.3,0,0,0,0,,
09-04-24 7:00,14,15,1.2,30.9,16.9,0.61,18.3,16.6,90,4.4,70,7.9,50,0,0.8,0,0.04,0,0,,
09-04-24 8:00,14,21,1.2,25.2,22.4,0.65,18.6,16.6,88,4.5,60,9.2,80,0,0.8,0,0.08,16,0,,
09-04-24 9:00,11,22,1,33,19.7,0.46,18.9,16.7,87,6.5,60,10.8,70,0.5,0.7,0,0.15,20,0,,
09-04-24 10:00,10,23,1.2,33.3,19.8,0.42,19.7,16.4,81,6.6,50,12.2,60,0,0.4,0,0.32,0,1,,
09-04-24 11:00,15,32,0.9,31.9,20.9,0.44,18.8,16,84,7.1,60,12.9,60,0,0.7,0,0.21,16,1,,
09-04-24 12:00,16,22,1.6,36.6,17.8,0.4,19.4,16.1,81,6.6,60,12.4,60,0,0.9,0,0.42,0,2,,
09-04-24 13:00,7,21,1.4,38,15.6,0.38,19.8,15.9,78,8.4,60,15,50,0,0,0,1.28,0,5,,
09-04-24 14:00,12,25,1.1,38.1,16.8,0.37,19.9,16.2,79,8.2,60,14.8,50,0,0,0,1.14,16,4,,
09-04-24 15:00,13,25,0.9,44.6,16,0.36,19.6,15.9,79,9.2,60,14.6,60,0,0,0,0.81,0,3,,
09-04-24 16:00,20,35,0.7,47.6,15.7,0.42,19.7,14.5,72,9.9,60,15.4,60,0,0,0,0.71,0,2,,
09-04-24 17:00,17,41,1.1,50.3,18,0.49,19.7,14.5,72,9,60,15.3,60,0,0,0,0.59,16,1,,
09-04-24 18:00,21,45,1.6,52.8,17.9,0.49,19.4,13.6,69,8.3,60,14.9,40,0,0,0,0.22,0,0,,
09-04-24 19:00,20,43,2.2,54.1,16.3,0.45,19.3,13.5,69,8.3,60,13.9,50,0,0,0,0.01,0,0,,
09-04-24 20:00,20,45,2.3,58.6,12.5,0.36,19.5,13,66,8.7,60,14.2,50,0,0,0,0,0,0,,
09-04-24 21:00,18,38,1.9,60.1,10,0.33,19.4,13.4,68,7.2,60,15.4,50,0,0,0,0,0,0,,
09-04-24 22:00,17,39,1.5,60.8,8.4,0.28,19.3,13.7,70,7.1,60,12.7,50,0,0,0,0,0,0,,
09-04-24 23:00,18,36,1.6,60.6,7.3,0.28,19.5,14.1,71,7.8,60,13.4,60,0,0,0,0,0,0,,
10-04-24 0:00,11,34,0.8,60.1,6.3,0.25,21.4,18.2,82,1.6,120,2.3,110,0,0,0,0,0,0,,
10-04-24 1:00,17,33,0.7,59.5,5.2,0.23,19.8,15.3,75,6.3,60,12,60,0,0,0,0,0,0,,
10-04-24 2:00,14,39,0.6,58.7,5,0.22,20.3,15.9,76,6.4,60,11.2,40,0,0,0,0,0,0,,
10-04-24 3:00,14,25,0.5,58.8,4.4,0.22,20.8,16.4,76,5.9,60,10.2,60,0,0,0,0,0,0,,
10-04-24 4:00,9,6,0.6,59.5,4.3,0.21,21.5,17.1,76,5.3,60,10.3,50,0,0,0,0,0,0,,
10-04-24 5:00,12,10,1,53.6,5.4,0.24,21.5,18.5,83,5.6,50,10.9,50,0,0,0,0,0,0,,
10-04-24 6:00,16,13,1.3,50.7,8.6,0.28,21.3,18.3,83,5.6,60,11.2,40,0,0,0,0.01,0,0,,
10-04-24 7:00,16,19,1.5,44.7,13.4,0.46,21.4,18,81,4.3,60,8.7,50,0,0,0,0.08,0,0,,
10-04-24 8:00,16,21,1,45.1,15.9,0.44,21.5,17.7,79,3.5,60,6.4,50,0,0,0,0.22,20,0,,
10-04-24 9:00,16,28,1.6,41.3,18.9,0.46,22.4,17.8,75,3.3,60,6.1,60,0,0,0,0.55,20,1,,
10-04-24 10:00,23,31,2.1,37.2,22.4,0.45,22.4,18.4,78,3.3,80,7,70,0,0,0,0.59,0,2,,
10-04-24 11:00,18,25,1.5,40.8,20.2,0.41,22.6,18.2,76,3.9,70,7.8,90,0,0,0,0.61,16,2,,
10-04-24 12:00,23,31,1.8,38.3,20.2,0.45,22.6,18.2,76,4.2,70,7.5,70,0,0,0,0.55,0,2,,
10-04-24 13:00,18,27,1.2,37.9,20.8,0.41,22.4,18.4,78,5.2,60,8.9,80,0,0,0,0.79,0,3,,
10-04-24 14:00,18,31,1.5,36.7,21.1,0.4,22.8,18.8,78,2.8,70,8.9,80,0,0,0,0.95,16,3,,
10-04-24 15:00,17,17,1.1,38.5,17.8,0.38,22.7,18.7,78,5.1,70,9.1,80,0,0,0,0.62,0,2,,
10-04-24 16:00,24,29,0.9,37.1,17.9,0.41,22.9,18.7,77,3.6,70,6.5,80,0,0,0,0.37,0,1,,
10-04-24 17:00,21,33,0.7,36.1,17.3,0.44,22.9,18.2,75,4,60,6.4,50,0,0,0,0.22,16,0,,
10-04-24 18:00,16,43,1.7,32.5,18.5,0.52,22.6,18.2,76,3.1,70,6.5,50,0,0,0,0.09,0,0,,
10-04-24 19:00,20,39,1.4,33.5,17,0.43,22.4,18,76,3.2,60,5.1,40,0,0,0,0,0,0,,
10-04-24 20:00,18,37,0.7,32.9,15.3,0.4,22.6,17.7,74,2.5,70,5.7,60,0,0,0,0,0,0,,
10-04-24 21:00,18,31,0.5,34.8,13.4,0.36,22.1,17.9,77,1,60,4.3,60,0,0,0,0,0,0,,
10-04-24 22:00,19,39,1.6,30.8,14.5,0.4,21.7,18.1,80,1.4,50,2,40,0,0,0,0,0,0,,
10-04-24 23:00,17,38,3.1,27,17.2,0.42,21.7,17.7,78,1.4,100,2.4,120,0,0,0,0,0,0,,
11-04-24 0:00,18,46,6.3,24.2,18.2,0.45,21.9,21.2,96,0.9,100,2.2,120,0,0,0,0,0,0,,
11-04-24 1:00,23,43,4.5,17.3,20.6,0.47,20.6,18.5,88,0.2,0,1.8,120,0,0,0,0,0,0,,
11-04-24 2:00,17,40,2.3,8.8,24.3,0.45,20.8,18.7,88,1,100,1.4,100,0,0,0,0,0,0,,
11-04-24 3:00,19,40,2.5,5.4,25,0.47,21.2,19,87,0.5,190,1.4,100,0,0,0,0,0,0,,
11-04-24 4:00,12,32,1.5,8.7,21.5,0.39,20.8,18.9,89,1.6,170,2.2,170,0,0,0,0,0,0,,
11-04-24 5:00,24,35,1.9,0.7,27.1,0.63,21.3,19.1,87,0.1,0,2.6,160,0,0,0,0,0,0,,
11-04-24 6:00,22,42,2.8,1.1,23.3,0.56,21.3,19.8,91,0.7,150,1.7,140,0,0,0,0.01,0,0,,
11-04-24 7:00,26,52,4.3,3.9,28.1,0.81,22.2,20.3,89,1.6,180,3,160,0,0,0,0.16,0,0,,
11-04-24 8:00,24,42,3,12.7,29.4,0.91,23.6,20.7,84,1.5,230,2.2,220,0,0,0,0.74,1.5,1,,
11-04-24 9:00,24,46,2.1,10.6,29.1,0.66,24,20.1,79,1.1,260,2.8,260,0,0,0,0.96,10,2,,
11-04-24 10:00,23,51,1.6,31.8,24.8,0.56,24.8,20.9,79,0.8,320,2.4,310,0,0,0,1.13,0,4,,
11-04-24 11:00,31,45,1.2,49.5,19.8,0.5,25.7,21.6,78,2.1,300,3.9,300,0,0,0.6,2.65,10,8,,
11-04-24 12:00,32,52,1.2,69.4,15,0.43,26.1,21.8,77,1.9,300,4.9,310,0,0,0.5,2.65,0,9,,
11-04-24 13:00,37,59,1.7,79,14.4,0.37,25.9,21.1,75,3.4,330,5.2,330,0,0,0.7,3.15,0,10,,
11-04-24 14:00,21,45,1.6,59.3,12.2,0.27,25.8,21.9,79,3.5,340,6.6,330,0,0,0.4,2.52,16,8,,
11-04-24 15:00,21,39,1.5,51.3,11.9,0.28,24.7,21.4,82,4.1,30,6.7,360,0,0,0.2,1.54,0,4,,
11-04-24 16:00,19,39,1.1,48.5,13.1,0.28,24.4,21.5,84,3.4,40,7.2,30,0,0,0,0.74,0,2,,
11-04-24 17:00,15,46,1.4,45.1,16.4,0.4,24.4,21.9,86,3.5,50,5.9,40,0,0,0.8,0.87,12,1,,
